mpg,cylinders,displace,horsepower,accel,year,weight,origin,make,model,price
43.1,4,90,48,21.5,78,1985,Europa,Volkswagen,Rabbit Dl,2400
20.3,5,131,103,15.9,78,2830,Europa,Audi,5000,4475
17,6,163,125,13.6,78,3140,Europa,Volvo,264GL,5875
21.6,4,121,115,15.7,78,2795,Europa,Saab,99GLE,4200
16.2,6,163,133,15.8,78,3410,Europa,Peugeot,604SL,5450
31.5,4,89,71,14.9,78,1990,Europa,Volkswagen,Scirocco,3675
31.9,4,89,71,14,79,1925,Europa,Volkswagen,Rabbit Cus,3100
25.4,5,183,77,20.1,79,3530,Europa,Mercedes,300D,15475
27.2,4,141,71,24.8,79,3190,Europa,Peugeot,504,4675
37.3,4,91,69,14.7,79,2130,Europa,Fiat,Strada Cus,2275
41.5,4,98,76,14.7,80,2144,Europa,Volkswagen,Rabbit,7000
34.3,4,97,78,15.8,80,2188,Europa,Audi,4000,5900
44.3,4,90,48,21.7,80,2085,Europa,Volkswagen,Rabbit Dl,3900
43.4,4,90,48,23.7,80,2335,Europa,Volkswagen,Dasher Dl,3825
36.4,5,121,67,19.9,80,2950,Europa,Audi,5000S Dl,7975
30.4,4,146,67,21.8,80,3250,Europa,Mercedes,240D,14275
40.9,4,85,,17.3,80,1835,Europa,Renault,LeCar Delx,2575
29.8,4,89,62,15.3,80,1845,Europa,Volkswagen,Rabbit,7000
35,4,122,88,15.1,80,2500,Europa,Triumph,TR7 Coupe,5000
33,4,105,74,14.2,81,2190,Europa,Volkswagen,Jetta,5650
34.5,4,100,,15.8,81,2320,Europa,Renault,18I,4600
28.1,4,141,80,20.4,81,3230,Europa,Peugeot,505S Dl,8500
,4,121,110,15.4,81,2800,Europa,Saab,900S,8225
30.7,6,145,76,19.6,81,3160,Europa,Volvo,Diesel,8550
36,4,105,74,15.3,82,1980,Europa,Volkswagen,Rabbit L,5200
44,4,97,52,24.6,82,2130,Europa,Volkswagen,Pickup,5075
36.1,4,98,66,14.4,78,1800,USA,Ford,Fiesta,1900
19.9,8,260,110,15.5,78,3365,USA,Oldsmobile,Cutlass,3300
19.4,8,318,140,13.2,78,3735,USA,Dodge,Diplomat,3125
20.2,8,302,139,12.8,78,3570,USA,Mercury,Monarch,2850
19.2,6,231,105,19.2,78,3535,USA,Pontiac,Phoenix,2800
20.5,6,200,95,18.2,78,3155,USA,Chevrolet,Malibu,3275
20.2,6,200,85,15.8,78,2965,USA,Ford,Fairmont A,2375
25.1,4,140,88,15.4,78,2720,USA,Ford,Fairmont M,2275
20.5,6,225,100,17.2,78,3430,USA,Plymouth,Volare,2700
19.4,6,232,90,17.2,78,3210,USA,AMC,Concord,2300
20.6,6,231,105,15.8,78,3380,USA,Buick,Century,3300
20.8,6,200,85,16.7,78,3070,USA,Mercury,Zephyr,2425
18.6,6,225,110,18.7,78,3620,USA,Dodge,Aspen,2700
18.1,6,258,120,15.1,78,3410,USA,AMC,Concord D1,2425
19.2,8,305,145,13.2,78,3425,USA,Chevrolet,MonteCarlo,3900
17.7,6,231,165,13.4,78,3445,USA,Buick,RegalTurbo,4400
18.1,8,302,139,11.2,78,3205,USA,Ford,Futura,2525
17.5,8,318,140,13.7,78,4080,USA,Dodge,Magnum XE,3000
30,4,98,68,16.5,78,2155,USA,Chevrolet,Chevette,2100
30.9,4,105,75,14.5,78,2230,USA,Dodge,Omni,2250
23.2,4,156,105,16.7,78,2745,USA,Plymouth,Sapporo,3200
23.8,4,151,85,17.6,78,2855,USA,Oldsmobile,Starfire,2400
21.5,6,231,115,15.4,79,3245,USA,Pontiac,Lemans V6,3925
19.8,6,200,85,18.2,79,2990,USA,Mercury,Zephyr 6,3200
22.3,4,140,88,17.3,79,2890,USA,Ford,Fairmont 4,2975
20.2,6,232,90,18.2,79,3265,USA,AMC,ConcordDL6,3150
20.6,6,225,110,16.6,79,3360,USA,Dodge,Aspen 6,3325
17,8,305,130,15.4,79,3840,USA,Chevrolet,Caprice Cl,4650
17.6,8,302,129,13.4,79,3725,USA,Ford,LTD Landau,4850
16.5,8,351,138,13.2,79,3955,USA,Mercury,GrandMarqs,5725
18.2,8,318,135,15.2,79,3830,USA,Dodge,St. Regis,4025
16.9,8,350,155,14.9,79,4360,USA,Buick,Estate SW,5225
15.5,8,351,142,14.3,79,4054,USA,Ford,Country SW,4825
19.2,8,267,125,15,79,3605,USA,Chevrolet,Malibu SW,4100
18.5,8,360,150,13,79,3940,USA,Chrysler,Lebaron SW,4725
35.7,4,98,80,14.4,79,1915,USA,Dodge,Colt Hatch,2700
27.4,4,121,80,15,79,2670,USA,AMC,Spirit DL,2725
23,8,350,125,17.4,79,3900,USA,Cadillac,Eldorado,9900
23.9,8,260,90,22.2,79,3420,USA,Oldsmobile,Cutlass,4050
34.2,4,105,70,13.2,79,2200,USA,Plymouth,Horizon,2625
34.5,4,105,70,14.9,79,2150,USA,Plymouth,HorizonTC3,2775
28.4,4,151,90,16,79,2670,USA,Buick,SkylarkLim,3525
28.8,6,173,115,11.3,79,2595,USA,Chevrolet,Citation,3625
26.8,6,173,115,12.9,79,2700,USA,Oldsmobile,Omega,3525
33.5,4,151,90,13.2,79,2556,USA,Pontiac,Phoenix,3325
32.1,4,98,70,15.5,80,2120,USA,Chevrolet,Chevette,2900
28,4,151,90,16.5,80,2678,USA,Chevrolet,Citation,3625
26.4,4,140,88,18.1,80,2870,USA,Ford,Fairmont,3525
24.3,4,151,90,20.1,80,3003,USA,AMC,Concord,3625
19.1,6,225,90,18.7,80,3381,USA,Dodge,Aspen,3700
27.9,4,156,105,14.4,80,2800,USA,Dodge,Colt,3200
23.6,4,140,,14.3,80,2905,USA,Ford,Must Cobra,4250
27.2,4,135,84,15.7,81,2490,USA,Plymouth,Reliant,5100
26.6,4,151,84,16.4,81,2635,USA,Buick,Skylark,5175
25.8,4,156,92,14.4,81,2620,USA,Dodge,Aries SW,4950
23.5,6,173,110,12.6,81,2725,USA,Chevrolet,Citation,4550
